Dish Name,Description,Cuisine,Meal Type,Diet,Tags,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Allergens
Chana Masala Veg Breakfast,"A healthy and filling breakfast option made with chickpeas, spinach, tomatoes, onions, and spices like cumin, coriander, and turmeric. This dish is high in protein (14g), fiber (8g), and carbohydrates (23g). It also contains common allergens, so you can be aware of possible intolerances or sensitivities before serving it to a friend who has dietary restrictions.",Indian,Breakfast,Non-Veg,"Indian, Breakfast, Non-Veg, Vegan, Gluten-free, Low-carb, High-protein, Nut-free, Dairy-free, Egg-free",60,14,8,23,None
Vegetable Curry with Egg,A creamy vegetarian curry with a delicious egg topping.,Indian,Breakfast,Non-Veg,"Indian, Breakfast, Non-Veg, Vegetarian, Spicy, Indian cuisine, Healthy",290,17,8.5,30.5,None
Vegan Breakfast Shakshuka,"A vegan breakfast dish consisting of poached eggs cooked with a spicy tomato and onion sauce, topped with fried crispy potatoes, parsley and paprika.",Indian,Breakfast,Non-Veg,"Indian, Breakfast, Non-Veg",408,17,28,50,None
Vegetable Curry Luncheon Plate,"A comforting and healthy vegan lunch option that includes a variety of vegetables, protein (tuna or tofu), fat (olive oil), carbohydraates (brown rice) and common allergens (dairy-free, gluten-free, nut-free).",Indian,Lunch,Veg,"Indian, Lunch, Veg",204,15.36,7.88,27.94,None
Vegetable Lentil Curry,A hearty and healthy lentil curry that is packed with flavor and veggies!,Indian,Lunch,Veg,"Indian, Lunch, Veg, Vegan, Gluten-free, Paleo, Dairy-free",170,6.5,8,21,None
Butter Mushroom Vegetable Curry,"A healthy and flavorful lunch option made with mushrooms, spinach, carrots, peas, and tomatoes cooked in a curry sauce.",Indian,Lunch,Veg,"Indian, Lunch, Veg, vegan, gluten-free, nut-free, low calorie, high fiber, protein-packed, dairy-free",480,22,,16.5,None
Vegetable Curry Luncheon,"A flavorful and healthy vegan lunch option with a variety of colorful vegetables, including spinach, carrots, peppers, and snap peas.",Indian,Lunch,Veg,"Indian, Lunch, Veg, Vegetarian, Gluten-Free, Nut-Free, Common Allegrens: None",270,15,9,38,None
Vegetable Potato Chips Omelette,A vegan version of a classic Indian dish with a twist!,Indian,Lunch,Veg,"Indian, Lunch, Veg, Vegan, Spicy, Dosa Alternative",217,8,23,46,None
Spicy Vegan Lentil Curry,"A creamy and heartwarming lentil curry made with veggies, lentils, coconut milk, spices, and aromatics. Low in calories (750-800 kcal per serving) and high in protein (16-23 g per serving).",Indian,Lunch,Veg,"Indian, Lunch, Veg, vegan, healthy, curry",800,,750,0,None
Vegan Mushroom Stir-Fry,A vegan version of classic Chinese stir-fry with a tad of mushrooms and additional veggies for added nutrition.,Indian,Lunch,Veg,"Indian, Lunch, Veg",207,13.6,12.8,24.9,None
Veg Luncheon Meal Curry,"A healthy and flavorful lunch option that's perfect for vegans, made with plant-based ingredients such as cauliflower florets, sweet potatoes, and spinach. The curry is a blend of spices like ginger, garlic, turmeric, and cumin for added flavor.",Indian,Lunch,Veg,"Indian, Lunch, Veg, Vegan, Low Calorie, High Protein, Gluten-Free, Dairy-Free",260,14,,30,None
Vegetable Curry with Paneer (Butter) Masala,"A flavorful and creamy paneer (cottage cheese) curry filled with aromatic spices, including cumin, coriander, and turmeric, paired with creamy avocado and buttery mashed potatoes.",Indian,Lunch,Non-Veg,"Indian, Lunch, Non-Veg, Vegetarian, Gluten-free, Nut-free, Dairy-free",324,10,27,26,"Gluten, Nuts, Shellfish"
Vegetable Stir-Fry with Peanut Sauce,"A satisfying and healthy Asian cuisine dish made with fresh vegetables, marinated in a sauce of peanuts, soy sauce, and sweet chili sauce. It is perfect for those who want a quick and delicious meal on-the-go. The dish contains only plant-based ingredients that provide nutrients and fiber to help you feel full for hours. Calories: 200 kcal",Indian,Lunch,Non-Veg,"Indian, Lunch, Non-Veg",,5,16,17,None
Kashmiri Gobi Beef Curry,"A rich and hearty vegetarian curry made with gobi (kashmiri beef), onion, tomato, potatoes, and a blend of spices. It's a complete meal that can easily satisfy your hunger without leaving you feeling full afterward. The dish includes 14g protein, 30g fat, and only 26kcal (7% daily value), making it a healthy option for lunch or dinner.",Indian,Lunch,Non-Veg,"Indian, Lunch, Non-Veg, Vegetarian, Kashmiri Beef Curry, Gobi Beef Curry",58,14,30,26,None indicated
Baked Cauliflower Fluff,"A crispy and flavorful snack made with cauliflower, roasted garlic, and herbs.",Indian,Lunch,Non-Veg,"Indian, Lunch, Non-Veg, Vegan, Gluten-free, Spicy, Low in Calories (<100 kcal), High in Protein (20 g), Low in Fat (<5 g), Vegan, Gluten-free, Low in Calories (<60 kcal), High in Protein (14 g), Fat (g): 2.7",59,7.3,2.7,18.6,None
Masala Kebab Curry,"This dish features spicy marinated chunks of grilled meat (like chicken or mutton), cooked with a mix of masala, garam masala, and vegetables like potatoes, carrots, cauliflower, and spinach for added nutrition.",Indian,Lunch,Non-Veg,"Indian, Lunch, Non-Veg, Non-Vegetarian, Low-Calorie, High Protein (10g), Fat-Free (g), Carb-Heavy (g)",329,35,,41,None
Vegetable Curry,"A classic Indian-style curry made with aromatic spices and vegetables. High in protein and fiber from legumes, whole grains and healthy fats. Calories (kcal): 182",Indian,Dinner,Veg,"Indian, Dinner, Veg",,9,4.5,17,None
Chana Masala,A creamy and spicy chickpea dish with a tangy masala seasoning.,Indian,Dinner,Veg,"Indian, Dinner, Veg, Spicy, Vegan, Nut-free, Gluten-free",140,8,7,32,None
Basmati Curry,A fragrant and flavorful vegetarian curry that's perfect for any veggie lover!,Indian,Dinner,Veg,"Indian, Dinner, Veg, Vegan, Gluten-free, Protein-rich, Low-carb, High-fat, Heart-healthy",360,12,7,45,None
Vegetable Curry,"This dish combines a variety of leafy greens such as spinach, kale or collard greens, along with potatoes, carrots and peas in a tomato-based sauce. It is often served as a vegetarian meal with bread (bread rolls or naan) on the side.",Indian,Dinner,Veg,"Indian, Dinner, Veg",190,7,4,26,None found in this dish.
Butter Chicken Curry,"A heartwarming and flavorful Indian curry made with butter-spiced chicken, vegetables, and a creamy sauce.",Indian,Dinner,Veg,"Indian, Dinner, Veg, Vegetarian, Gluten-Free, Dairy Free, Low-Calorie, Nut-Free, Soy-Free",350,10,23,12,None
Vegetable Curry with Naan,"A hearty and flavorful vegan meal that is perfect for a weekday dinner. This curry has a blend of herbs, spices, and vegetables to provide a well-rounded flavor. The naan bread adds a delicious crunch to every bite.",Indian,Dinner,Veg,"Indian, Dinner, Veg",289,14.3,14.7,50.6,None
Kadhai Gobi Kalakari,A flavorful and creamy curry made with roasted cauliflower. This veg dinner can be easily prepared in a kadhai (Indian pressure cooker) or pan.,Indian,Dinner,Veg,"Indian, Dinner, Veg, Vegetarian, Indian cuisine, Kadhai, Vegan, Curry, Roasted, Cauliflower, Pressure Cooking",160,5.7,9.4,13.8,None
Vegetable Biryani,"A popular Indian rice-based dish made with mixed vegetables, spices, and yogurt.",Indian,Dinner,Veg,"Indian, Dinner, Veg, vegan, gluten-free, dairy-free, egg-free, nut-free, common allergens (dairy, gluten, shellfish)",190,6.5,7.5,24.5,Nut-free and dairy-free
Vegetable Kebabs with Rice Pilaf,"This creative vegetarian dinner includes kebabs made from different vegetables like mushrooms, tomatoes, and bell peppers, served over rice pilaf for a comforting and flavorful meal. The kebabs also have a light and refreshing dressing made with lemon juice, olive oil, and garlic to complement the flavors of the vegetables. Calories (kcal): 269",Indian,Dinner,Non-Veg,"Indian, Dinner, Non-Veg",,10,,38,None
Lentil Dal Curry,"A comforting and savory curry made with lentils, tomatoes, onions, ginger, garlic, cumin, coriander, turmeric, and a touch of yogurt. Low in calories (108 kcals), high in protein (25g) from the legumes, and low to moderate in fat (6g) from the vegetables. This dish is free of common allergens like dairy, gluten, nuts, and shellfish.",Indian,Dinner,Non-Veg,"Indian, Dinner, Non-Veg, Vegetarian, Lentil, Dal, Curry, Yogurt, Turmeric",108,25,6,17,None
Lentil Curry with Vegetables and Mint Leaves,"This dish is a fusion of vegetarian Indian cuisine, featuring lentils cooked in coconut milk along with spices like cumin, coriander, turmeric, and garam masala. The curry is then garnished with fresh mint leaves for a refreshing finish. Kcal: 217",Indian,Dinner,Non-Veg,"Indian, Dinner, Non-Veg",,9.5,33.8,40.2,None
Vegetable Gobi Manchurian Pulao,"A delicious vegetarian pulao dish made with cooked potatoes, onion, tomato, ginger garlic paste, coriander leaves, green chilies, and red chili powder. Serve it with a sauce made of cashew nuts, curd, yogurt, and mint leaves.",Indian,Dinner,Non-Veg,"Indian, Dinner, Non-Veg, Vegetarian, Pulao, Manchurian, Gobi",205,7.4,,38.8,None listed
Mediterranean Eggplant Omelette,"A vegan alternative to traditional eggplant omelette with flavorful ingredients like roasted red peppers, spinach, mushrooms, and feta cheese.",Italian,Breakfast,Veg,"Italian, Breakfast, Veg, Vegetarian, Gluten-free, Nut-free, Dairy-free, Eggless",175,8,11,10,None
Vegetarian and Whole Grain Veggie Breakfast Sandwich,"A vegan-friendly breakfast sandwich featuring a blend of whole grain bread, tofu scramble, veggies (such as spinach, mushrooms, bell peppers), avocado, and whole wheat sprouts. It's quick, healthy, and filling!",Italian,Breakfast,Veg,"Italian, Breakfast, Veg, Vegan, Whole Grain, Protein-rich, Gluten-free, Nut-free, Egg-free, Dairy-free, Sesame, Ginger, Garlic, Onion, Mushroom, Avocado.",350,1,17,26,None
Mushroom and Asiago Toast,"Vegan breakfast that's quick to prepare, high in protein from mushrooms, low in carbs from bread, and contains omega-3 fatty acids from the cheese.",Italian,Breakfast,Veg,"Italian, Breakfast, Veg, gluten-free, vegan, egg-free, dairy-free, high-protein, low-carb",180,9.5,16,23.5,None
Spinach and Ricotta Hash Browns,"A savory spinach and ricotta hash brown combo for a healthy, filling breakfast option that's also vegan-friendly!",Italian,Breakfast,Veg,"Italian, Breakfast, Veg, Vegetarian, Healthy, Breakfast",300,15,12.5,40,None
Roasted Red Pepper & Mushroom Hash,"A delicious vegan breakfast dish featuring roasted red peppers, mushrooms, and topped with a creamy avocado sauce.",Italian,Breakfast,Veg,"Italian, Breakfast, Veg, Vegetarian, Gluten-free, Dairy-free, Nut-free, Common Allergen: Shellfish (eggs)",289,10,45,25,None
Vegetarian Breakfast Salad with Roasted Chickpeas and Feta,"A colorful and healthy vegan breakfast that includes roasted chickpeas, fresh greens, quinoa, avocado, and feta cheese. Kcal: 120",Italian,Breakfast,Veg,"Italian, Breakfast, Veg",120,5.8,4.3,26.7,None
Baked Eggplant Parmes,"A healthy vegan breakfast option made with baked eggplants, tomatoes, mushrooms, and parmesan cheese, served with a side of roasted garlic potatoes.",Italian,Breakfast,Non-Veg,"Italian, Breakfast, Non-Veg",320,18,12.5,15.5,None
Vegetarian Quinoa and Black Bean Hash,A healthy and filling veggie-packed breakfast that's perfect for a busy morning!,Italian,Breakfast,Non-Veg,"Italian, Breakfast, Non-Veg, Breakfast, Gluten Free, Low Calorie, Plant-Based, Whole Foods, Vegan",234,9,8.51,37.56,None detected
Overnight Breakfast Banquette,"This dish is a simple breakfast that can be prepared the night before and reheated in the morning to save time. It includes cooked chicken, eggs, spinach or kale, mushrooms, prosciutto, and toasted bread. - Tags: vegan, gluten-free, dairy-free, low-carb, quick breakfast",Italian,Breakfast,Non-Veg,"Italian, Breakfast, Non-Veg",150,13,,,None
Egg-Spinach Mash,"A protein-packed breakfast made with spinach and feta cheese, eggs, and a few other healthy ingredients like spinach leaves, Greek yogurt, and avocado. Calories (kcal): 328 per serving",Italian,Breakfast,Non-Veg,"Italian, Breakfast, Non-Veg",,10,8.5,24.7,None
Vegetarian Breakfast Bowl with Hummus and Cucumber,"A filling breakfast made with a base of quinoa, roasted sweet potatoes, sautéed kale, roasted red peppers, hummus, cucumber, avocado, and lemon juice. - Tags: vegan, healthy, gluten-free, nuts and dairy-free, common allergens: eggs",Italian,Breakfast,Non-Veg,"Italian, Breakfast, Non-Veg",480,12,35,29,None
Healthy Meatballs with Broccoli and Pesto,"A healthy vegan lunch option that provides protein, fiber, and fat with some added protein and veggies.",Italian,Lunch,Veg,"Italian, Lunch, Veg, Vegetarian, Gluten-free, Low Calorie, Plant-based",300,15,14,25,None
Veg Luncheon Meat - Italian Chef's Veggie Plate,"A colorful and filling vegan lunch option that's perfect for those who want to eat healthier but still indulge in their favorite foods. Succinctly put, it's a delicious, satisfying vegetarian meal made with plant-based protein, hearty carbohydrates, and nutrient-dense fats from veggies like spinach, mushrooms, roasted sweet potato, bell pepper, zucchini, and avocado.",Italian,Lunch,Veg,"Italian, Lunch, Veg",350,19,26,47,None
Salty & Peppery Roasted Veggie Lunch Box,A healthy and delicious vegan lunchbox that's perfect for those on the go!,Italian,Lunch,Veg,"Italian, Lunch, Veg, vegan, gluten-free, low carb, kcal 370, gf dairy, nut free, soy free, eggs free, shellfish free",370,14.5,8.5,20,None
Italian Cuisine,"A colorful and nutrient-dense vegan lunch option that includes roasted vegetables, garlic bread, and a lightly dressed green salad on the side.",Italian,Lunch,Veg,"Italian, Lunch, Veg",400,25,18,,None
Vegan Lentil and Spinach Pasta,"A delicious vegan lentil and spinach pasta dish with protein from paneer, veggies like zucchini, bell peppers, kale, spinach, and spinach. It also includes healthy fats from olive oil and dairy-free milk from cashews, making it a hearty and satisfying meal.",Italian,Lunch,Veg,"Italian, Lunch, Veg, Vegan, Gluten-Free, Nut-Free, Protein-Packed, Low Calorie",195,20,,,None
Roasted Veggie Lunch Salad,"A healthy and delicious salad featuring roasted brussels sprouts, cherry tomatoes, avocado, mixed greens, and a tangy vinaigrette. Perfect for lunch or a light dinner, this dish is low in calories, high in fiber, and bursting with healthy fats from the olive oil and avocado. Additionally, there are no allergens present (dairy, gluten, nuts, soy, eggs, shellfish), making it a perfect choice for everyone to enjoy.",Italian,Lunch,Veg,"Italian, Lunch, Veg, Vegan, Gluten-free, Low Calorie, High Fiber, Healthy Fats",304,15,22,9,None
Veggie Lentil Soup,"A delicious and healthy lentil soup made with fresh vegetables, nuts, and herbs that is perfect for a vegan or gluten-free diet.",Italian,Lunch,Veg,"Italian, Lunch, Veg, Vegan, Gluten-Free, Nut-Free, Low Calorie, Protein-Rich",175,8,6,20,None
Vegan Luncheon Meat Stuffed Bell Peppers,"A filling and nutritious vegan lunch meat stuffed with a creamy mushroom and spinach sauce, topped with roasted red peppers for extra flavor.",Italian,Lunch,Veg,"Italian, Lunch, Veg, vegetarian, vegan, Mediterranean, stuffed bell peppers",270,15,9,6,None
Slow Cooker Spinach and Roasted Potato Dumplings,A satisfying and vegan lunch option that's quick and easy to make.,Italian,Lunch,Non-Veg,"Italian, Lunch, Non-Veg, Vegan, Gluten-Free, Dairy-Free, Nut-Free, Protein-Packed",150,6,4,37,"Gluten, Dairy, Nuts, Eggs, Shellfish"
Mushroom and Spinach Linguine,"A delicious and healthy Italian-style lunch dish with a simple, yet flavorful sauce made from mushrooms and roasted garlic. This dish is perfect for those who want to add some extra nutrients while enjoying a satisfying meal.",Italian,Lunch,Non-Veg,"Italian, Lunch, Non-Veg, Healthy, Vegetarian, Gluten-free, Nut-free, Dairy-free, Egg-free",284,10,23,65,None
Spoonful,"A classic vegan lunch plate featuring a selection of tasty and nutrient-dense vegetable options like roasted Brussels sprouts, roasted sweet potatoes, sautéed kale with garlic, and quinoa salad with sunflower seeds.",Italian,Lunch,Non-Veg,"Italian, Lunch, Non-Veg",560,22,,38,None
Pizza Caesar,"A classic Italian pizza with crispy crust, cheese, and your favorite toppings.",Italian,Lunch,Non-Veg,"Italian, Lunch, Non-Veg, vegan, pizza, gluten-free, lactose-free",270,13,9,48,None
Vegetarian Lentil Cuisine,"This gluten-free veggie lunch box consists of a freshly cooked vegetable medley, whole grain pita bread, hummus, guacamole, and mixed green salad. Each bite is packed with protein, fiber, and essential nutrients for an energizing lunch.",Italian,Lunch,Non-Veg,"Italian, Lunch, Non-Veg, Gluten-Free, Vegan, Dairy-Free, Nut-Free",180,4,7.5,20,None
Vegetable Parmesan,"A simple yet flavorful pasta dish featuring roasted veggies and a cheesy sauce made with almond milk, nutritional yeast, and Parmesan cheese.",Italian,Dinner,Veg,"Italian, Dinner, Veg, easy, gluten-free, vegetarian, low calorie, protein-rich",604,21,32,47,None
Vegetable Pasta with Pesto Sauce,"A colorful and filling vegan pasta dish made with fresh vegetables, pesto sauce, and a touch of garlic for flavor.",Italian,Dinner,Veg,"Italian, Dinner, Veg, Vegan, Italian cuisine, Whole30-friendly, Low carb",427,15,28,45,None
Veggie Risotto,"A healthy and filling veggie-packed risotto made with spinach, pine nuts, arugula, parmesan cheese, and white wine. Calories (kcal): 250",Italian,Dinner,Veg,"Italian, Dinner, Veg",,9,17,43,None
Veggie Fajita,"A delicious vegan version of traditional Mexican fajitas featuring roasted bell peppers, zucchini, mushrooms, and spinach topped with a creamy avocado sauce.",Italian,Dinner,Veg,"Italian, Dinner, Veg",325,16,14,18,None
Vegetable Stuffed Shells,A hearty veggie-packed dish with a creamy sauce. Includes:,Italian,Dinner,Veg,"Italian, Dinner, Veg, Vegan, Gluten-Free, Low Calorie, Dairy-Free, Nut Free",270,8,14,20,None detected
Vegetable Risotto Cuisine Italian,"A creamy and flavorful risotto made with arugula (green), zucchini, mushrooms, garlic, and white wine. Served with grilled or roasted vegetables for added nutrition and texture. Calories: 168 per serving (35g carbs, 29g protein, 11g fat, 4g fiber)",Italian,Dinner,Veg,"Italian, Dinner, Veg, vegan, gluten-free, dairy-free, low-calorie, nut-free, no egg, non-dairy",168,2.9,2.1,29.6,None
Veggie Cioppino,"A hearty soup made with vegetables such as clams, seafood, potatoes, and white wine. It's topped with breadcrumbs, garlic, and herbs for extra flavor. Calories: 360 (25g fat, 70g carbohydrates)",Italian,Dinner,Non-Veg,"Italian, Dinner, Non-Veg",,14,29,,None
Caprese Caesar Salad,"A delicious and healthy caprese salad featuring fresh tomatoes, mozzarella cheese, crispy pancetta, and a tangy Caesar dressing.",Italian,Dinner,Non-Veg,"Italian, Dinner, Non-Veg, Vegan, Gluten-Free, Low Calorie, High Protein, Low Fat",670,18,45,20,None
Vegetable Tagliatelle with Mushrooms and Lemon Sauce,"Tagliatelle pasta is tossed with a creamy lemon sauce made from fresh lemon juice, garlic, and cream. The vegetables are sautéed in olive oil until tender before being added to the pasta. This dish is then seasoned with oregano and salt and pepper to taste. A crispy Parmesan cheese drizzle adds a delicious finish to this hearty and flavorful vegetable tagliatelle dish.",Italian,Dinner,Non-Veg,"Italian, Dinner, Non-Veg, Non-vegetarian, Italian cuisine, Hearty, Flavorful, Vegetarian-friendly, Gluten-free, Nut-free, Soy-free, Egg-free, Dairy-free, Common Allegrens (dairy, gluten, nuts, soy, eggs, shellfish)",270,5.9,6.8,38.2,None
Sweet Potato Risotto with Almonds and Pistachios,"This delicious risotto features sweet potatoes, almonds, and pistachios for an indulgent and nutritious meal. It's perfect for a satisfying dinner after a long day at work or on a special occasion.",Italian,Dinner,Non-Veg,"Italian, Dinner, Non-Veg, Non-Vegetarian, Non-Alcoholic, Hearty, Gluten-Free, Dairy-Free, Vegan, Plant-Based, Egg-Free, Seitan-Free",425,17.8,30.6,51.9,None
Scarlet Scallops with Cream Sauce,"A delicious and healthy dinner option featuring scallops stuffed with cream sauce, roasted mushrooms, and baby spinach. This dish is packed with protein, fiber, and vitamins that will leave you feeling full and satisfied after a satisfying meal.",Italian,Dinner,Non-Veg,"Italian, Dinner, Non-Veg, vegetarian, gluten-free, dairy-free, low carb, protein-rich",145,7,13,20.9,None
Eggplant and Potato Casserole with Garlic Butter Sauce,"A hearty vegetable casserole made with eggs, potatoes, garlic, butter, and cheese.",Italian,Dinner,Non-Veg,"Italian, Dinner, Non-Veg, Vegetarian, Gluten-Free, Dairy-Free, Nut-Free",280,15,34,26,None
Spaghetti alla Norma,"A classic Italian pasta dish featuring homemade spaghetti and tomato-based sauce with a variety of toppings such as grilled chicken, shrimp, or mushrooms. Calories (kcal): 308",Italian,Dinner,Non-Veg,"Italian, Dinner, Non-Veg, Vegetarian, Low Calorie",,17,16,52,None
Vegetable Omelette,"A filling and protein-packed breakfast that's easy to make at home. This dish is packed with a range of nutrients including vitamins, minerals, and fiber to help kickstart your day. It's also gluten-free, dairy-free, egg-free, and vegan-friendly.",French,Breakfast,Veg,"French, Breakfast, Veg",140,5,6,2,"Nuts, Soy, Eggs, Shellfish"
Vegetable Fritatta,A vegan version of the classic frittata filled with fresh veggies and cheese. Suitable for vegetarians.,French,Breakfast,Veg,"French, Breakfast, Veg, Vegan, Gluten-free, Dairy-free, Nut-free, Egg-free, Common Allergens: Fish and shellfish (gluten-free option available)",150,8,12,6,None
Vegetable Quinoa Bowl,"A healthy and delicious vegan breakfast option that's easy to prepare and packed with protein, fiber, and nutrients from the quinoa, kale, and cherry tomatoes.",French,Breakfast,Veg,"French, Breakfast, Veg, Gluten-free, Vegan, Protein-packed, Nutritious, Kitchen-friendly",160,8,,26,None
Vegetable Fried Rice,"A simple yet flavorful dish featuring a variety of vegetables sauteed in a mixture of garlic, ginger, soy sauce, and sesame oil. This dish is perfect for vegans or those following a gluten-free diet as it does not contain any wheat products or grains.",French,Breakfast,Veg,"French, Breakfast, Veg, Vegan, Gluten-Free, Nut-Free",250,10,9,40,None
Fruit and Nutritious Granola Breakfast,"A veggie breakfast recipe that's high in fiber, protein, and healthy fats. A mix of mangoes, pineapple, almonds, and chia seeds for a nutrient-dense breakfast.",French,Breakfast,Veg,"French, Breakfast, Veg, Vegan, Gluten-free, Dairy-free, Nut-free, Protein-rich, High-fiber, Healthy, Low-carb, Vegan, Gluten-free, Dairy-free, Nut-free, Protein-rich, High-fiber, Healthy, Low-carb",185,7,,9,None
Vegetarian Fried Rice,"A vegan version of a popular Chinese dish that features rice with toppings such as egg, vegetables, and soy sauce.",French,Breakfast,Veg,"French, Breakfast, Veg, Vegan, Vegetarian, Asian, Fried Rice, Protein-Rich",376,12,14,42,None
Miya Chou: Vegan Fritatta with Avocado & Black Beans,"A vegan breakfast dish featuring avocado, black beans, and spinach in a flaky baked frittata.",French,Breakfast,Veg,"French, Breakfast, Veg, Vegetarian, Gluten-free, Nut-free, Dairy-free, Seitan, Soy-free, Egg-free",210,9.5,16.8,7.3,None
Vegetable Omelette with Spinach & Mushroom,"A hearty breakfast that's packed with protein, fiber, vitamins, and minerals. Perfect for those who want a quick and healthy start to their day!",French,Breakfast,Non-Veg,"French, Breakfast, Non-Veg, Non-veg, Vegetarian, Breakfast, Omelette, Mushroom, Spinach",160,5,8,24,None
Roasted Butternut Squash with Kale and Pistachios,"This seasonal breakfast dish features butternut squash roasted to perfection, along with fresh kale and toasted pistachios. It's both hearty and nutrient-dense, making it a satisfying meal for any time of day. Calories: 450 kcal",French,Breakfast,Non-Veg,"French, Breakfast, Non-Veg, Vegan, Gluten-Free, Low-Calorie, High-Protein, Vegan, Gluten-Free, Low-Calorie, High-Protein, Vegan, Gluten-Free, Low-Calorie, High-Protein",,18,26,53,"Nuts, Eggs, Shellfish, and Soy Products"
Spinach & Bacon Frittata,"A delicious breakfast dish made with spinach, bacon, eggs, cheese, and breadcrumbs for extra flavor.",French,Breakfast,Non-Veg,"French, Breakfast, Non-Veg",450,11,23,9,None
Spinach & Feta Avocado Toast,"A spinach and feta cheese toast served with avocado, tomato, and whole grain bread.",French,Breakfast,Non-Veg,"French, Breakfast, Non-Veg, Vegan, gluten-free, low carb, healthy, high protein, high fiber",408,17.63,19.58,,None
Miso Soup Breakfast Bowl,"A vegan breakfast option made with miso soup, rice, and fresh vegetables for a balanced meal.",French,Breakfast,Non-Veg,"French, Breakfast, Non-Veg, Vegan, Gluten-free, Low-carb",380,12,,42,None
Succinchi Chips Veggie Breakfast,"A delicious and healthy breakfast option consisting of crispy succhini chips made from avocado, spinach, and parmesan cheese, served with a side of freshly squeezed orange juice. The protein content is provided to make this dish satisfying and nutritious for breakfast goers. Calories: 124 kcal",French,Breakfast,Non-Veg,"French, Breakfast, Non-Veg",,5.1,8.7,16.3,None detected
Vegan Berry Breakfast Bowl,"A healthy and filling vegan breakfast dish made with fresh berries, quinoa, almond milk, and a homemade topping of cinnamon sugar for extra flavor.",French,Breakfast,Non-Veg,"French, Breakfast, Non-Veg, Gluten-free, Vegan, Low Calorie, Protein-rich",270,11,,31,None
Cucumber Scramble,"A savory and healthy breakfast option made with scrambled eggs, cucumber, avocado, salt and pepper, fresh parsley leaves, and a touch of spices.",French,Breakfast,Non-Veg,"French, Breakfast, Non-Veg, Vegetarian, Low-carb, High protein",390,8,,1,None
Veg Saag Kebab,"A light and flavorful vegan kebab made with sautéed spinach, fresh ginger, onion, and garam masala. Served over Basmati Rice. Calories (kcal): 130",French,Lunch,Veg,"French, Lunch, Veg",,4.5,2.5,8.5,None
Spicy Veggie Stir-Fry Bowl,"A delicious and healthy vegan stir-fry with a range of vegetables, including bell peppers, zucchini, broccoli, mushrooms, and carrots. This dish is packed with protein from the chickpeas and tofu, as well as fiber and vitamins from the veggies. The recipe includes a list of common allergens, but it can easily be made without any dairy, gluten, nuts, eggs, or soy.",French,Lunch,Veg,"French, Lunch, Veg, Vegan, Whole30, Lunch, Healthy, Spicy",456,21.5,18,27,None
Vegetable Minimalist Tofu Spaghetti,"A delicious and healthy vegan lunch option featuring mini meatballs made with cashew cheese, served over a bed of tofu spaghetti.",French,Lunch,Veg,"French, Lunch, Veg, gluten-free, dairy-free, nut-free, low calorie, protein-packed, vegetarian, high fiber, easy to prepare, noodles, tasty, quick and easy",190,7.5,24.5,16.5,None
Vegetable Fried Rice with Broccoli,A healthy and filling vegetarian fried rice dish.,French,Lunch,Veg,"French, Lunch, Veg, Vegan, Gluten-free, Low Calorie, High Protein, Low Fat",450,16,23,48,No
Vegan Luncheon Meat Bowl,"A delicious vegan lunch option that is high in protein, fiber, and vitamins. It also provides a variety of vegetables for a balanced meal. Tags: vegan, lentil, chickpea, brown rice, spinach",French,Lunch,Veg,"French, Lunch, Veg, vegan, lentil, chickpea, brown rice, spinach",250,16,8,35,"Common Allergens (if any, e.g., dairy, gluten, nuts, soy, eggs, shellfish) N/A"
Veggie Luncheon Curry,A hearty and delicious vegan lunch option with a unique twist on classic curry dishes.,French,Lunch,Veg,"French, Lunch, Veg, Vegetarian, Gluten-free, Low Calorie, Healthy, Protein-rich, Common Allergens: Nuts, Seeds, Soy.",280,13,,17,None
Spicy Veggie Stir-Fry,"A flavorful vegan stir-fry that's high in fiber and packed with nutrients. This dish includes a variety of colorful vegetables like zucchini, bell peppers, carrots, and spinach cooked in a spicy sauce made from soy sauce, ginger, garlic, and sesame oil. The calories are around 130 per serving, protein is around 8g, fat is around 4g, and carbohydrates are around 29g.",French,Lunch,Veg,"French, Lunch, Veg, vegan, stir-fry, spicy, nutritious, easy to prepare",130,8,4,29,"dairy, egg, shellfish"
Vegan Spinach and Mushroom Stir-Fry,"A delicious and healthy vegetarian stir-fry made with spinach, mushrooms, garlic, ginger, soy sauce, and brown sugar. This dish is packed with protein from the black beans and tofu, while also offering a plethora of essential vitamins and minerals from the veggies and herbs. Calories: 306 kcal",French,Lunch,Veg,"French, Lunch, Veg, vegan, stir-fry, protein rich, nutritious",,8.9,12.1,10.4,None
Chickpea Curry Lunchbox Pack,A convenient and affordable way to enjoy your favorite lentil curry in the comfort of your own home. The pack includes five individual containers that are easy to grab and go for a quick and healthy snack or meal on-the-go.,French,Lunch,Non-Veg,"French, Lunch, Non-Veg, Vegan, Gluten Free, Low Calorie, Protein Rich, Heart Healthy, Vegan, Gluten Free, Low Calorie, Protein Rich, Heart Healthy",157,9.3,12.4,38.1,None
